MooreRank,Team,W,L,T,MooreSOS,MoorePR,Season,TeamID
289,BALL ST.,5,25,0,66.37,56.03,2014,1123
273,BALL ST.,7,23,0,64.56,57.23,2015,1123
149,BALL ST.,21,14,0,61.66,65.14,2016,1123
174,BALL ST.,21,13,0,58.04,59.71,2017,1123
164,BALL ST.,19,13,0,63.92,64.92,2018,1123
7,BAYLOR,28,8,0,75.7,88.68,2010,1124
76,BAYLOR,18,13,0,71.32,76.33,2011,1124
17,BAYLOR,30,8,0,75.2,84.37,2012,1124
11,BAYLOR,23,14,0,74.31,86.15,2013,1124
18,BAYLOR,26,12,0,73.81,83.41,2014,1124
19,BAYLOR,24,10,0,72.45,80.83,2015,1124
26,BAYLOR,22,12,0,73.06,80.57,2016,1124
25,BAYLOR,27,8,0,73.11,78.8,2017,1124
33,BAYLOR,19,15,0,73.34,78.54,2018,1124
181,BELMONT,19,12,0,63.06,66.48,2010,1125
51,BELMONT,30,5,0,62.89,80.02,2011,1125
52,BELMONT,27,8,0,65.02,78.34,2012,1125
68,BELMONT,26,7,0,65.91,75.25,2013,1125
101,BELMONT,26,10,0,63.69,71.47,2014,1125
127,BELMONT,22,11,0,62.96,67.87,2015,1125
161,BELMONT,20,12,0,60.87,63.42,2016,1125
155,BELMONT,23,7,0,54.88,61.09,2017,1125
106,BELMONT,24,9,0,63.43,69.95,2018,1125
308,BETHUNE-COOKMAN,17,16,0,57.27,54.16,2010,1126
279,BETHUNE-COOKMAN,21,13,0,58.66,58.1,2011,1126
272,BETHUNE-COOKMAN,18,17,0,58.55,58.86,2012,1126
289,BETHUNE-COOKMAN,14,20,0,61.09,56.21,2013,1126
328,BETHUNE-COOKMAN,7,25,0,59.67,50.28,2014,1126
332,BETHUNE-COOKMAN,11,21,0,53.66,48.89,2015,1126
326,BETHUNE-COOKMAN,14,18,0,54.2,49.44,2016,1126
348,BETHUNE-COOKMAN,10,22,0,49.66,41.5,2017,1126
311,BETHUNE-COOKMAN,18,14,0,53.05,53.94,2018,1126
250,BINGHAMTON,13,18,0,63.92,60.2,2010,1127
289,BINGHAMTON,8,23,0,63.32,57.34,2011,1127
325,BINGHAMTON,2,29,0,62.73,50.36,2012,1127
339,BINGHAMTON,3,27,0,62.22,47.02,2013,1127
326,BINGHAMTON,7,23,0,62.33,51.54,2014,1127
302,BINGHAMTON,6,26,0,61.91,53.77,2015,1127
289,BINGHAMTON,8,22,0,60.5,53.86,2016,1127
315,BINGHAMTON,12,20,0,53.38,49.08,2017,1127
290,BINGHAMTON,11,20,0,58.38,56.19,2018,1127
140,BOISE ST.,15,17,0,67.11,70.2,2010,1129
104,BOISE ST.,22,13,0,66.85,72.64,2011,1129
150,BOISE ST.,13,17,0,69.88,68.47,2012,1129
58,BOISE ST.,21,11,0,71.71,76.51,2013,1129
79,BOISE ST.,21,13,0,67.64,74.06,2014,1129
50,BOISE ST.,25,9,0,65.89,76.54,2015,1129
96,BOISE ST.,20,12,0,65.95,70.66,2016,1129
95,BOISE ST.,20,12,0,64.51,66.53,2017,1129
62,BOISE ST.,23,9,0,67.32,75.01,2018,1129
59,BOSTON COLLEGE,15,16,0,75.74,79.48,2010,1130
62,BOSTON COLLEGE,21,13,0,75.32,77.95,2011,1130
196,BOSTON COLLEGE,9,22,0,72.99,64.48,2012,1130
69,BOSTON COLLEGE,16,17,0,73.95,75.19,2013,1130
102,BOSTON COLLEGE,8,24,0,74.31,71.4,2014,1130
82,BOSTON COLLEGE,13,19,0,73.94,72.31,2015,1130
164,BOSTON COLLEGE,7,25,0,73.68,63.13,2016,1130
102,BOSTON COLLEGE,9,23,0,71.34,65.59,2017,1130
75,BOSTON COLLEGE,19,16,0,72.9,73.23,2018,1130
109,BOSTON UNIVERSITY,21,14,0,66.28,73.03,2010,1131
154,BOSTON UNIVERSITY,21,14,0,65.23,68.21,2011,1131
194,BOSTON UNIVERSITY,16,16,0,64.27,64.6,2012,1131
177,BOSTON UNIVERSITY,17,13,0,63.59,65.49,2013,1131
111,BOSTON UNIVERSITY,24,11,0,65.71,71.07,2014,1131
220,BOSTON UNIVERSITY,13,17,0,62.9,61.13,2015,1131
202,BOSTON UNIVERSITY,19,15,0,61.27,61.24,2016,1131
147,BOSTON UNIVERSITY,18,14,0,60.31,61.67,2017,1131
227,BOSTON UNIVERSITY,15,16,0,62.88,60.41,2018,1131
207,BOWLING GREEN,14,16,0,66.73,64.43,2010,1132
222,BOWLING GREEN,14,19,0,65.14,63.03,2011,1132
152,BOWLING GREEN,16,16,0,67.8,68.09,2012,1132
184,BOWLING GREEN,13,19,0,65.79,65.27,2013,1132
223,BOWLING GREEN,12,20,0,66.07,61.56,2014,1132
147,BOWLING GREEN,21,12,0,63.21,66.21,2015,1132
225,BOWLING GREEN,16,18,0,61.23,59.25,2016,1132
245,BOWLING GREEN,13,19,0,58.94,54.96,2017,1132
258,BOWLING GREEN,16,16,0,60.3,58.54,2018,1132
103,BRADLEY,16,15,0,72.23,73.51,2010,1133
130,BRADLEY,12,20,0,69.58,70.08,2011,1133
237,BRADLEY,7,25,0,70.85,61.01,2012,1133
159,BRADLEY,18,17,0,68.14,66.72,2013,1133
202,BRADLEY,12,20,0,65.48,63.2,2014,1133
234,BRADLEY,9,24,0,65.41,59.92,2015,1133
